case_id,lambda_value,model_name,fragile_label,n_points,negative_frequency,spectral_tail_mean,min_eigenvalue_q10,logdet_residual_q90
cefalu_lambda_0_50,0.5,global,regular,589.0,0.04753820033955857,-0.0031737840539081243,0.029905110970139506,0.5617609977722169
cefalu_lambda_0_50,0.5,global,fragile,11.0,0.0,0.054603807628154755,0.056931089609861374,0.6788802146911621
cefalu_lambda_0_50,0.5,local,regular,589.0,0.013582342954159592,0.026638094045742716,0.04980178847908974,0.8312111854553226
cefalu_lambda_0_50,0.5,local,fragile,11.0,0.09090909090909091,0.006813035113736987,0.02118523046374321,0.9113032817840576
cefalu_lambda_0_75,0.75,global,regular,551.0,0.041742286751361164,0.002520045905839652,0.03316629305481911,0.5524489879608154
cefalu_lambda_0_75,0.75,global,fragile,49.0,0.08163265306122448,-0.030762337148189545,0.009397170320153239,0.26722311973571794
cefalu_lambda_0_75,0.75,local,regular,551.0,0.018148820326678767,0.029292910191413415,0.058592136949300766,0.8527674674987793
cefalu_lambda_0_75,0.75,local,fragile,49.0,0.10204081632653061,-0.031019365414977074,0.00987538099288942,1.3629531383514406
cefalu_lambda_0_90,0.9,global,regular,521.0,0.04222648752399232,0.006882331652549219,0.04048271104693413,0.5482382774353027
cefalu_lambda_0_90,0.9,global,fragile,79.0,0.0759493670886076,-0.017942921142093837,0.020946604758501054,0.5255241394042971
cefalu_lambda_0_90,0.9,local,regular,521.0,0.009596928982725527,0.04088986127303457,0.07389649748802185,0.7798902988433838
cefalu_lambda_0_90,0.9,local,fragile,79.0,0.02531645569620253,0.018487774475943297,0.04447434842586518,0.8420416355133057
cefalu_lambda_1_0,1.0,global,regular,516.0,0.04263565891472868,0.006819769820420054,0.04275332763791084,0.5190272331237793
cefalu_lambda_1_0,1.0,global,fragile,84.0,0.07142857142857142,-0.013301445352327492,0.021012568287551405,0.3881023883819582
cefalu_lambda_1_0,1.0,local,regular,516.0,0.005813953488372093,0.04939418589660468,0.07926293089985847,0.7223167419433594
cefalu_lambda_1_0,1.0,local,fragile,84.0,0.011904761904761904,0.03266686532232496,0.05493617877364159,0.662541174888611
cefalu_lambda_1_10,1.1,global,regular,523.0,0.032504780114722756,0.011955527225201774,0.045639270544052125,0.5290196895599365
cefalu_lambda_1_10,1.1,global,fragile,77.0,0.07792207792207792,-0.01260529481805861,0.012811999022960664,0.20410466194152851
cefalu_lambda_1_10,1.1,local,regular,523.0,0.0057361376673040155,0.060369987611852166,0.09316084682941436,0.6889558792114258
cefalu_lambda_1_10,1.1,local,fragile,77.0,0.0,0.04022943280870095,0.06755474954843521,0.6143549919128418
